Date,Open,High,Low,Close,Volume
2024-08-21,72.065,72.77,70.87,71.46,10455485
2024-08-22,71.74,73.25,70.92,71.52,11811123
2024-08-23,72,72.0699,70.84,71.7,8222231
2024-08-26,72.07,73.03,71.67,72.04,9062957
2024-08-27,71.75,72.35,71.3,71.59,9396932
2024-08-28,71.27,71.5899,70.025,70.43,9277660
2024-08-29,71.4,73.93,71.25,73.16,13181591
2024-08-30,73.51,73.69,71.76,72.43,9634963
2024-09-03,71.755,72.9484,71.4,72,8571345
2024-09-04,71.605,73.24,71.59,72.61,8368990
2024-09-05,73.66,74.4,71.015,72.03,11473844
2024-09-06,71.94,72.05,68.55,68.89,12315821
2024-09-09,70.392,70.65,68.25,69.35,11869340
2024-09-10,69.34,69.74,67.15,68.85,12317452
2024-09-11,69.16,69.7,67.76,69.35,12344870
2024-09-12,69.14,70.38,69.04,70.36,8376713
2024-09-13,70.04,70.6202,69.8601,70.1,7572594
2024-09-16,70.46,71.24,70.0699,71.07,6494997
2024-09-17,71.93,72.17,71.12,71.77,6187212
2024-09-18,71.45,73.87,71.36,73.12,13498163
2024-09-19,75,78.245,74.81,77.57,21662377
2024-09-20,77.31,77.57,75.462,76.76,27274648
2024-09-23,77.53,78.8,77.35,77.67,12839810
2024-09-24,77.88,78.83,77.67,78.34,14724836
2024-09-25,78.23,79.26,77.34,77.36,13822395
2024-09-26,78.945,80.43,78.47,80.08,13316657
2024-09-27,80.4,80.6299,77.73,77.88,11575282
2024-09-30,77.87,78.5952,77.24,78.03,6853835
2024-10-01,78.21,79.01,76.39,77.47,10608717
2024-10-02,77.47,77.77,76.18,77.44,8073322
2024-10-03,76.53,77.4,76.04,77.31,9121261
2024-10-04,78.16,79.53,77.985,79.36,10083594
2024-10-07,79.29,80.49,78.615,80.26,9206569
2024-10-08,79.99,81.3999,79.575,81.16,8618496
2024-10-09,80.88,82,80.85,81.65,6925969
2024-10-10,79.94,80.075,78.53,78.98,11326106
2024-10-11,79.54,80.7263,79.16,80.51,7744777
2024-10-14,80.34,80.98,79.82,80.67,5865449
2024-10-15,80.15,81.06,78.65,79.55,7291606
2024-10-16,79.81,80.85,79.45,80.82,5434792
2024-10-17,80.75,80.9,79.225,79.82,8653971
2024-10-18,79.5,80.97,78.94,80.94,8844338
2024-10-21,80.315,81.36,80.04,80.56,7450264
2024-10-22,80.05,81.42,80.04,80.91,7571253
2024-10-23,81.24,82.24,80.09,80.83,7632139
2024-10-24,81.235,82.48,80.92,81.39,7398779
2024-10-25,82.01,82.8,81.4,81.7,7201013
2024-10-28,82.03,83.7,81.88,83.59,15243510
2024-10-29,78.04,81.25,76.81,80.28,35206386
2024-10-30,79.03,79.71,77.99,78.22,14910497
2024-10-31,78.49,79.82,78.3,79.3,13919255
2024-11-01,77.865,78.3089,76.46,77.25,16473606
2024-11-04,77.26,78.44,77,78.13,10257036
2024-11-05,77.738,79.41,77.738,79.25,6573919
2024-11-06,81.345,81.69,79.995,81.41,11546541
2024-11-07,81.695,82.74,81.13,81.35,7994293
2024-11-08,81.46,83.07,81.35,83.01,8144180
2024-11-11,84.07,87.47,83.38,86.94,15459383
2024-11-12,86.88,87.92,85.6746,86.4,10036908
2024-11-13,86.8,87.9,86.08,87.31,9256571
2024-11-14,87.06,87.4725,85.475,85.79,8468252
2024-11-15,85.35,86.2,85.1014,85.83,8083167
2024-11-18,86.055,86.84,84.575,84.67,10152571
2024-11-19,82.99,84.235,82.5,84.09,12442731
2024-11-20,84.51,85.6,84.24,84.74,6076348
2024-11-21,85.16,85.49,84.21,84.82,7250051
2024-11-22,84.68,86.8,84.57,86.77,6785992
2024-11-25,87.99,88.74,86.97,87.77,12998272
2024-11-26,87.4,88.18,86.9,86.94,5610415
2024-11-27,87.55,87.66,86.27,86.57,5477894
